CHROM,Comparison,SD,MIN,MAX,MEAN
4,broiler line B vs white layer,0.1671694068547951,0.0100157,0.966953,0.37314729090708937
4,brown layer vs red junglefowl,0.12091522711634119,0.00603004,0.76721,0.33309763483927785
4,brown layer vs white layer,0.19044617863525137,-0.00290836,1,0.5530422186775402
4,ixworth vs broiler line A,0.0923686174818927,-0.00579821,0.612097,0.1774684165235579
4,ixworth vs broiler line B,0.09505603815058856,-0.00244026,0.684389,0.1855424853888155
4,ixworth vs brown layer,0.13523648779252564,-0.00654005,0.821575,0.31534610226133863
4,ixworth vs red junglefowl,0.07305899512746279,0.0268837,0.627808,0.21087047970057243
4,ixworth vs white layer,0.1309649743514124,0.0190389,0.874199,0.343337948767063
4,white layer vs red junglefowl,0.12439575073889834,0.0556857,0.836596,0.39310548249669747
5,broiler line A vs broiler line B,0.06814493351011398,-0.0233602,0.511138,0.08978059689699831
5,broiler line A vs brown layer,0.1448594731572395,6.42548e-4,0.790659,0.2763352309939312
5,broiler line A vs red junglefowl,0.08197356145163666,0.00165294,0.547809,0.20322597678691842
5,broiler line A vs white layer,0.18745257806381382,-0.00831686,0.943171,0.4127429489851652
5,broiler line B vs brown layer,0.17366174923791824,-0.00974554,0.947219,0.3276981574602369
5,broiler line B vs red junglefowl,0.0995069659380201,0.00799078,0.656626,0.23630144715778828
5,broiler line B vs white layer,0.2009091226695327,-0.0230643,0.9977,0.4422737964890388
5,brown layer vs red junglefowl,0.12653280984970489,0.0239406,0.771492,0.288723984496124
5,brown layer vs white layer,0.17611956381766347,-0.00247262,0.998652,0.5341206112732185
5,ixworth vs broiler line A,0.1410066321515753,-0.0105003,0.854172,0.22577722906302664
5,ixworth vs broiler line B,0.1460587672188437,0.00519723,0.938732,0.25331079966632963
5,ixworth vs brown layer,0.13721362637143267,0.0274583,0.847371,0.3178640973373778
5,ixworth vs red junglefowl,0.11217777057781446,0.0135104,0.682414,0.24808378196831818
5,ixworth vs white layer,0.16563874633993445,0.0214878,0.864076,0.39517721779575327
5,white layer vs red junglefowl,0.1283849450331427,0.0237976,0.829552,0.4116127042818611
6,broiler line A vs broiler line B,0.07415037306288003,-0.0206036,0.463107,0.10558805792359174
6,broiler line A vs brown layer,0.12180141850930966,-0.00759656,0.728996,0.26570607477412156
6,broiler line A vs red junglefowl,0.06017854198833198,-0.003943,0.47747,0.16578561525641025
6,broiler line A vs white layer,0.1389844711396728,0.00523562,0.766306,0.3450242046432553
6,broiler line B vs brown layer,0.13468115936861275,-0.0207512,0.77116,0.3199555092805354
6,broiler line B vs red junglefowl,0.08178152448669684,0.019123,0.568918,0.21232462157190635
6,broiler line B vs white layer,0.1589709558826662,-0.00442788,0.864778,0.3730331959960981
6,brown layer vs red junglefowl,0.1035201513794599,0.0486062,0.610606,0.2993667453177257
6,brown layer vs white layer,0.1714208450395492,-0.0109308,0.958865,0.512729215842634
6,ixworth vs broiler line A,0.10550832053992365,-5.83304e-4,0.694242,0.21324310818617614
6,ixworth vs broiler line B,0.10941040925974166,0.00269992,0.787726,0.2469393232664437
6,ixworth vs brown layer,0.14224541406338945,0.0156765,0.805985,0.34668002212932
6,ixworth vs red junglefowl,0.08984335018381519,0.0336066,0.702007,0.2445939602006689
6,ixworth vs white layer,0.14240851549410852,0.0154887,0.98356,0.39476375741360087
6,white layer vs red junglefowl,0.11921625246506853,0.0302065,0.719711,0.37762417971014495
7,broiler line A vs broiler line B,0.0691262881110682,-0.0159541,0.393855,0.10034016280640176
7,broiler line A vs brown layer,0.13766597805054992,6.39183e-5,0.768976,0.3026654847091662
7,broiler line A vs red junglefowl,0.07693013607132365,0.00909382,0.522135,0.184511151141754
