label,x,y,plot_type,plot_num
red_junglefowl,411612.81947549037,714546.9452349487,path,1
red_junglefowl,425596.21047730587,714546.9452349487,path,1
red_junglefowl,440054.6479661545,714546.9452349487,path,1
red_junglefowl,455004.27031396737,714546.9452349487,path,1
red_junglefowl,470461.76414859475,714546.9452349487,path,1
red_junglefowl,486444.3829792635,714546.9452349487,path,1
red_junglefowl,502969.96645478247,714546.9452349487,path,1
red_junglefowl,520056.9602759895,714546.9452349487,path,1
red_junglefowl,537724.4367846694,674694.7682653873,path,1
red_junglefowl,555992.1162519236,625284.8272600189,path,1
red_junglefowl,574880.3888897502,536645.0016423931,path,1
red_junglefowl,594410.3376104066,497443.88754203025,path,1
red_junglefowl,614603.761558959,497443.88754203025,path,1
red_junglefowl,635483.2004452816,497443.88754203025,path,1
red_junglefowl,657071.9597026703,497443.88754203025,path,1
red_junglefowl,679394.1365011479,497443.88754203025,path,1
red_junglefowl,702474.6466444962,497443.88754203025,path,1
red_junglefowl,726339.2523810462,497443.88754203025,path,1
red_junglefowl,751014.5911592526,497443.88754203025,path,1
red_junglefowl,776528.2053601675,497443.88754203025,path,1
red_junglefowl,802908.5730399839,506378.9964810282,path,1
red_junglefowl,830185.1397169755,609369.9932694228,path,1
red_junglefowl,858388.3512383082,648827.9483334332,path,1
red_junglefowl,887549.6877634055,648827.9483334332,path,1
red_junglefowl,917701.6989018101,648827.9483334332,path,1
red_junglefowl,948878.0400447478,648827.9483334332,path,1
red_junglefowl,981113.5099309626,648827.9483334332,path,1
red_junglefowl,1014444.0894887381,648827.9483334332,path,1
red_junglefowl,1048906.981997474,648827.9483334332,path,1
red_junglefowl,1084540.6546136364,648827.9483334332,path,1
red_junglefowl,1121384.881307432,133306.63600316984,path,1
red_junglefowl,1159480.7872581456,133306.63600316984,path,1
red_junglefowl,1198870.894757674,133306.63600316984,path,1
red_junglefowl,1239599.1706735096,133306.63600316984,path,1
red_junglefowl,1281711.075524146,133306.63600316984,path,1
red_junglefowl,1325253.6142216772,133306.63600316984,path,1
red_junglefowl,1370275.3885382435,465674.4520629479,path,1
broiler_line_A,0.0,16632.10318678442,path,2
broiler_line_A,1290.317569767825,16632.10318678442,path,2
broiler_line_A,1383.7645704828556,16632.10318678442,path,2
broiler_line_A,1483.9791624848956,16632.10318678442,path,2
broiler_line_A,1591.4514662858658,16632.10318678442,path,2
broiler_line_A,1706.7070977616977,16632.10318678442,path,2
broiler_line_A,1830.30973878718,16632.10318678442,path,2
broiler_line_A,1962.8638940405638,16632.10318678442,path,2
broiler_line_A,2105.0178474606682,87140.3587531263,path,2
broiler_line_A,2257.466832815649,87140.3587531263,path,2
broiler_line_A,2420.9564338897785,87140.3587531263,path,2
broiler_line_A,2596.286230917548,87140.3587531263,path,2
broiler_line_A,2784.31371109875,359369.2424557159,path,2
broiler_line_A,2985.958462319747,525748.1817271619,path,2
broiler_line_A,3202.206670591183,525748.1817271619,path,2
broiler_line_A,3434.115943197812,763164.0797648381,path,2
broiler_line_A,3682.820481149078,763164.0797648381,path,2
broiler_line_A,3949.536626227372,763164.0797648381,path,2
broiler_line_A,4235.5688097630255,763164.0797648381,path,2
broiler_line_A,4542.315932229713,581559.5551322767,path,2
broiler_line_A,4871.278204861049,320493.16558489087,path,2
broiler_line_A,5224.064486748748,320493.16558489087,path,2
broiler_line_A,5602.400153305948,320493.16558489087,path,2
broiler_line_A,6008.135534578074,9049.25450742107,path,2
broiler_line_A,6443.254964670578,81473.95703823732,path,2
broiler_line_A,6909.886486551688,81473.95703823732,path,2
broiler_line_A,7410.312259693538,81473.95703823732,path,2
broiler_line_A,7946.979721452419,81473.95703823732,path,2
broiler_line_A,8522.513556775242,250407.37506958804,path,2
broiler_line_A,9139.728534772585,333270.7860906239,path,2
broiler_line_A,9801.643274938264,333270.7860906239,path,2
broiler_line_A,10511.49501034201,333270.7860906239,path,2
broiler_line_A,11272.755419997766,333270.7860906239,path,2
broiler_line_A,12089.147607839124,437169.5086965736,path,2
broiler_line_A,12964.664311341136,437169.5086965736,path,2
broiler_line_A,13903.587428841598,437169.5086965736,path,2
broiler_line_A,14910.508961064277,437169.5086965736,path,2
broiler_line_A,15990.353469262951,437169.5086965736,path,2
broiler_line_A,17148.402159822654,437169.5086965736,path,2
broiler_line_A,18390.318713108783,437169.5086965736,path,2
broiler_line_A,19722.176982885536,437169.5086965736,path,2
broiler_line_A,21150.49070177358,437169.5086965736,path,2
broiler_line_A,22682.2453380276,437169.5086965736,path,2
broiler_line_A,24324.932259436067,437169.5086965736,path,2
broiler_line_A,26086.585371428973,437169.5086965736,path,2
broiler_line_A,27975.82040857976,437169.5086965736,path,2
broiler_line_A,30001.87707166505,437169.5086965736,path,2
broiler_line_A,32174.664216362027,437169.5086965736,path,2
broiler_line_A,34504.808314588365,437169.5086965736,path,2
broiler_line_A,37003.70542549535,437169.5086965736,path,2
broiler_line_A,39683.576930288735,437169.5086965736,path,2
broiler_line_A,42557.52930346065,437169.5086965736,path,2
broiler_line_A,45639.61821275609,437169.5086965736,path,2
broiler_line_A,48944.91726136825,437169.5086965736,path,2
broiler_line_A,52489.59170856126,437169.5086965736,path,2
broiler_line_A,56290.97752926602,437169.5086965736,path,2
broiler_line_A,60367.66619930684,437169.5086965736,path,2
broiler_line_A,64739.59562091923,437169.5086965736,path,2
broiler_line_A,69428.14763324858,437169.5086965736,path,2
broiler_line_A,74456.25258472562,437169.5086965736,path,2
broiler_line_A,79848.50147875203,437169.5086965736,path,2
broiler_line_A,85631.2662411676,437169.5086965736,path,2
broiler_line_A,91832.8286976931,437169.5086965736,path,2
broiler_line_A,98483.51889213943,437169.5086965736,path,2
broiler_line_A,105615.86342185737,437169.5086965736,path,2
broiler_line_A,113264.74451589434,437169.5086965736,path,2
broiler_line_A,121467.57063386237,437169.5086965736,path,2
broiler_line_A,130264.45941986721,437169.5086965736,path,2
broiler_line_A,139698.43390627348,437169.5086965736,path,2
broiler_line_A,149815.6329268814,599475.1362933699,path,2
broiler_line_A,160665.53676858475,930329.33998243,path,2
broiler_line_A,172301.20916510667,930329.33998243,path,2
broiler_line_A,184779.55681633606,930329.33998243,path,2
broiler_line_A,198161.60770249597,1192707.5105290029,path,2
broiler_line_A,212512.8095542996,1192707.5105290029,path,2
broiler_line_A,227903.3499388245,1192707.5105290029,path,2
broiler_line_A,244408.4995265522,1192707.5105290029,path,2
broiler_line_A,262108.9802183925,1192707.5105290029,path,2
broiler_line_A,281091.3599330943,1192707.5105290029,path,2
broiler_line_A,301448.4759858372,1192707.5105290029,path,2
broiler_line_A,323279.88912862045,1192707.5105290029,path,2
broiler_line_A,346692.3704730332,1192707.5105290029,path,2
broiler_line_A,371800.4236768028,1192707.5105290029,path,2
broiler_line_A,398726.84494798374,1192707.5105290029,path,2
broiler_line_A,427603.32360560645,1192707.5105290029,path,2
broiler_line_A,458571.0861339525,1192707.5105290029,path,2
broiler_line_A,491781.5868803409,918084.895220492,path,2
broiler_line_A,527397.2487744242,546116.6412719956,path,2
broiler_line_A,565592.2576916451,546116.6412719956,path,2
broiler_line_A,606553.4143458455,546116.6412719956,path,2
broiler_line_A,650481.047877395,546116.6412719956,path,2
broiler_line_A,697589.9956049301,546116.6412719956,path,2
broiler_line_A,748110.6537323877,546116.6412719956,path,2
broiler_line_A,802290.1041500339,546116.6412719956,path,2
broiler_line_A,860393.3228403446,546116.6412719956,path,2
broiler_line_A,922704.4757987101,718659.9630842713,path,2
broiler_line_A,989528.3088069196,718659.9630842713,path,2
broiler_line_A,1061191.6378564201,718659.9630842713,path,2
broiler_line_A,1138044.9475105673,718659.9630842713,path,2
broiler_line_A,1220464.1050230027,718659.9630842713,path,2
broiler_line_A,1308852.1985954046,371067.7952876476,path,2
broiler_line_B,0.0,28362.868529202387,path,3
broiler_line_B,767.4770592639865,28362.868529202387,path,3
broiler_line_B,827.2200110115797,28362.868529202387,path,3
broiler_line_B,891.6135516470514,28362.868529202387,path,3
broiler_line_B,961.0196983853446,28362.868529202387,path,3
broiler_line_B,1035.8286490583232,28362.868529202387,path,3
broiler_line_B,1116.4609757871672,28362.868529202387,path,3
broiler_line_B,1203.3699894174765,28362.868529202387,path,3
broiler_line_B,1297.0442880098215,18125.728583657008,path,3
broiler_line_B,1398.0105037132257,15631.228355488092,path,3
broiler_line_B,1506.8362634643577,23066.44294077797,path,3
broiler_line_B,1624.1333801573392,50046.50098353973,path,3
broiler_line_B,1750.5612922247665,50046.50098353973,path,3
broiler_line_B,1886.830770967082,76868.88171851123,path,3
broiler_line_B,2033.7079164727263,75357.15094635429,path,3
broiler_line_B,2192.0184645939266,74501.83843372019,path,3
broiler_line_B,2362.652429191717,62338.77523636213,path,3
broiler_line_B,2546.569105748668,62338.77523636213,path,3
broiler_line_B,2744.8024644793595,31861.988513499688,path,3
broiler_line_B,2958.4669632584164,31861.988513499688,path,3
broiler_line_B,3188.76381304608,3640.936181529078,path,3
broiler_line_B,3436.9877310352113,19980.30327246443,path,3
broiler_line_B,3704.5342194855953,35746.97910839401,path,3
broiler_line_B,3992.907411166767,73150.69328124876,path,3
broiler_line_B,4303.728525516048,73150.69328124876,path,3
broiler_line_B,4638.74498305189,126013.12083527859,path,3
broiler_line_B,4999.8402292832625,126013.12083527859,path,3
broiler_line_B,5389.044323344658,126013.12083527859,path,3
broiler_line_B,5808.54535088544,194303.1293665367,path,3
broiler_line_B,6260.701725376227,194303.1293665367,path,3
broiler_line_B,6748.055446989645,194303.1293665367,path,3
broiler_line_B,7273.346393596187,194303.1293665367,path,3
broiler_line_B,7839.527724218451,194303.1293665367,path,3
broiler_line_B,8449.782481541175,194303.1293665367,path,3
broiler_line_B,9107.541486815537,194303.1293665367,path,3
broiler_line_B,9816.50262776199,194303.1293665367,path,3
broiler_line_B,10580.6516479072,194303.1293665367,path,3
broiler_line_B,11404.284554231743,194303.1293665367,path,3
broiler_line_B,12292.031769103134,194303.1293665367,path,3
broiler_line_B,13248.8841622752,194303.1293665367,path,3
broiler_line_B,14280.22110930439,194303.1293665367,path,3
broiler_line_B,15391.840734125879,194303.1293665367,path,3
broiler_line_B,16589.9925058119,194303.1293665367,path,3
broiler_line_B,17881.412372769428,194303.1293665367,path,3
broiler_line_B,19273.36063190002,194303.1293665367,path,3
