CHROM,Population,SD,MIN,MAX,MEAN
6,broiler line A,0.0019124509895521323,4.12273e-5,0.0129262,0.0042802438838169645
6,broiler line B,0.0017350358605751704,3.0167e-5,0.0116683,0.003731914967448353
6,brown layer,0.001539549098352623,1.27055e-5,0.00957387,0.0025596428330124576
6,ixworth,0.001764364187241581,2.73449e-5,0.0125919,0.003672835482142857
6,red junglefowl,0.0018545987470708033,4.229e-5,0.0125212,0.004710754441829336
6,white layer,0.0011743369867157998,2.81475e-5,0.00792557,0.001971220963478261
7,broiler line A,0.0015865540071859658,9.13485e-5,0.0085375,0.003875876730259525
7,broiler line B,0.0014223005376775095,5.08658e-5,0.00820828,0.003543298819977925
7,brown layer,0.0012916964719629734,1.40822e-5,0.00682428,0.002265715831805478
7,ixworth,0.0014747592985723157,1.26967e-4,0.0096225,0.003838991516289343
7,red junglefowl,0.0015707675626492126,4.84362e-5,0.00888541,0.004237342956756757
7,white layer,0.0011153149934521064,9.86332e-6,0.0064072,0.0020222392756730177
8,broiler line A,0.001474801911734713,3.1864e-5,0.00882358,0.00328695216977058
8,broiler line B,0.0014449372265174488,5.82987e-5,0.00823022,0.0030758716797434165
8,brown layer,0.001195782513731394,3.77074e-5,0.00621652,0.0021914846421636617
8,ixworth,0.0014867392136296035,2.33069e-5,0.00905228,0.003238093530188679
8,red junglefowl,0.0016518225593257238,4.27811e-5,0.00982404,0.0037384671530047266
8,white layer,0.0010617033857287204,1.34974e-5,0.0076435,0.0015023725285714287
9,broiler line A,0.0012746826215840083,2.92e-4,0.00843894,0.0038873995758091995
9,broiler line B,0.0014010391911132834,2.89462e-4,0.00817479,0.0035503875442930155
9,brown layer,0.001188432955550617,3.23673e-5,0.0056991,0.002205121874070873
9,ixworth,0.0013179554419766053,3.37424e-4,0.00868915,0.003945080496592845
9,red junglefowl,0.0011562558782631548,2.32959e-4,0.00840671,0.0044402167930153325
9,white layer,0.0010780849611374556,1.61348e-5,0.00578307,0.0016766375963380281
10,broiler line A,0.0012266462439100277,3.72161e-5,0.00706781,0.003629869978648384
10,broiler line B,0.0011956020191689358,2.37535e-5,0.00639577,0.0034352889229411765
10,brown layer,0.0010836801234144205,1.16668e-5,0.00628811,0.002206420398301246
10,ixworth,0.001253612561154861,1.90359e-5,0.00785058,0.0036030944727095515
10,red junglefowl,0.0013276845988923311,4.01465e-5,0.00836061,0.004236974466438356
10,white layer,0.0010332022498828624,1.22784e-5,0.00510699,0.0015501104756558237
11,broiler line A,0.0013523472828525468,1.74722e-4,0.00698092,0.003264771141116751
11,broiler line B,0.0013350336507409236,4.46856e-5,0.00653515,0.003197931128397566
11,brown layer,0.0010665879565440262,3.3602e-5,0.00563626,0.0019724328922675026
11,ixworth,0.0013832743589593563,2.07159e-5,0.00753116,0.0032894506226395937
11,red junglefowl,0.001407950488408061,1.21454e-5,0.00716559,0.0038035255156186614
11,white layer,0.0010137612578085776,1.81297e-5,0.0055361,0.0013923378661452514
12,broiler line A,0.0013889190527075108,8.17812e-5,0.00946372,0.003948591938005923
12,broiler line B,0.0013204576726486283,6.16773e-5,0.00909797,0.0037196022635375492
12,brown layer,0.0010884132354635513,4.46905e-5,0.00552065,0.0022030778128742513
12,ixworth,0.0013576100706938227,2.59663e-5,0.00786275,0.004024013549507874
12,red junglefowl,0.0013724508391373047,5.66829e-5,0.00917139,0.00450929014408284
12,white layer,0.0010485055315693286,1.52053e-5,0.00550734,0.0019147935986707566
13,broiler line A,0.0015373258748651135,5.99597e-5,0.0080681,0.0038546699603896105
13,broiler line B,0.0014496815080742458,4.1993e-5,0.00865085,0.0034167402247300216
13,brown layer,0.0012313829860184165,7.51521e-6,0.00579239,0.0021750333014738123
13,ixworth,0.0013653035360466307,6.04261e-5,0.00773459,0.003626359181445523
13,red junglefowl,0.001547994887343615,4.87834e-5,0.00883327,0.00418396465987055
13,white layer,0.0011250290068422636,1.49854e-5,0.00493968,0.001833438166287016
14,broiler line A,0.0013205409903973902,3.95241e-5,0.00811229,0.0035044607281129654
14,broiler line B,0.0012928657551933619,4.22916e-5,0.00673842,0.003442361637242268
14,brown layer,0.0011617425873896928,9.34149e-5,0.00531765,0.0024636940183225806
14,ixworth,0.001315824665660595,2.75807e-5,0.00670228,0.003599886414724712
14,red junglefowl,0.0017944738538235223,7.31535e-5,0.016691,0.004251962998846154
14,white layer,0.00106853863307107,4.48656e-5,0.00541963,0.0018777991524390244
15,broiler line A,0.0014431861080054478,6.2295e-5,0.00775572,0.0032852162668202765
15,broiler line B,0.0013901935097236355,2.36259e-5,0.00771089,0.002942496639570552
15,brown layer,9.336807464890819e-4,2.63354e-5,0.0045134,0.001858653644375
15,ixworth,0.0012118783455101164,2.26113e-5,0.00624928,0.0028124048268404907
15,red junglefowl,0.0015348033895515357,2.85621e-5,0.00742784,0.0037917619466257668
15,white layer,9.467655078082677e-4,1.7221e-5,0.00511725,0.0015733279035598706
16,broiler line A,0.0016274819796729754,4.65544e-5,0.00718021,0.00192694732991453
16,broiler line B,0.0014365202081895248,4.7446e-5,0.00604823,0.0017047778213675213
16,brown layer,0.0011254972054767585,7.3858e-5,0.00527082,0.0012975451719298245
16,ixworth,0.0020057493310843603,4.85048e-5,0.00929576,0.002516095874789916
16,red junglefowl,0.0017502414616723683,3.16592e-5,0.00710564,0.002076256211864407
16,white layer,5.754815865536871e-4,1.3456e-5,0.00264046,6.253907321428572e-4
17,broiler line A,0.0013576327214492065,1.75378e-5,0.00787665,0.0037254400638132294
17,broiler line B,0.001261076346858319,1.07403e-5,0.00763417,0.003440678037548638
17,brown layer,0.001188658933298133,1.93027e-5,0.00494331,0.0022637828530214423
17,ixworth,0.0013244375000262428,5.07724e-5,0.00773159,0.0036572567167315177
