run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR15464296	SAMEA119567931	ERX14868192	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/096/ERR15464296/ERR15464296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/096/ERR15464296/ERR15464296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464296/F02_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464296/F02_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/096/ERR15464296/ERR15464296.bam
ERR15464400	SAMEA119567933	ERX14868296	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR15464400/ERR15464400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR15464400/ERR15464400_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464400/F04_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464400/F04_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR15464400/ERR15464400.bam
ERR15464451	SAMEA119567935	ERX14868347	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/051/ERR15464451/ERR15464451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/051/ERR15464451/ERR15464451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464451/F06_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464451/F06_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/051/ERR15464451/ERR15464451.bam
ERR15464453	SAMEA119567935	ERX14868349	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/053/ERR15464453/ERR15464453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/053/ERR15464453/ERR15464453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464453/F06_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464453/F06_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/053/ERR15464453/ERR15464453.bam
ERR15464461	SAMEA119567937	ERX14868357	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/061/ERR15464461/ERR15464461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/061/ERR15464461/ERR15464461_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464461/G02_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464461/G02_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/061/ERR15464461/ERR15464461.bam
ERR15464472	SAMEA119567941	ERX14868368	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464472/G06_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464472/G06_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/072/ERR15464472/ERR15464472.bam
ERR15464483	SAMEA119567944	ERX14868379	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464483/H04_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464483/H04_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/083/ERR15464483/ERR15464483.bam
ERR15464485	SAMEA119567945	ERX14868381	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/085/ERR15464485/ERR15464485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/085/ERR15464485/ERR15464485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464485/H05_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464485/H05_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/085/ERR15464485/ERR15464485.bam
ERR15464500	SAMEA119567946	ERX14868396	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR15464500/ERR15464500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR15464500/ERR15464500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464500/H06_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464500/H06_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR15464500/ERR15464500.bam
ERR15463833	SAMEA119567898	ERX14867765	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/033/ERR15463833/ERR15463833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/033/ERR15463833/ERR15463833_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463833/A01_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463833/A01_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/033/ERR15463833/ERR15463833.bam
ERR15463838	SAMEA119567899	ERX14867770	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/038/ERR15463838/ERR15463838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/038/ERR15463838/ERR15463838_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463838/A02_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463838/A02_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/038/ERR15463838/ERR15463838.bam
ERR15463628	SAMEA119567946	ERX14867560	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/028/ERR15463628/ERR15463628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/028/ERR15463628/ERR15463628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463628/H06_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463628/H06_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/028/ERR15463628/ERR15463628.bam
ERR15463846	SAMEA119567902	ERX14867778	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/046/ERR15463846/ERR15463846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/046/ERR15463846/ERR15463846_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463846/A05_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463846/A05_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/046/ERR15463846/ERR15463846.bam
ERR15463835	SAMEA119567899	ERX14867767	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463835/A02_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463835/A02_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/035/ERR15463835/ERR15463835.bam
ERR15463854	SAMEA119567905	ERX14867786	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/054/ERR15463854/ERR15463854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/054/ERR15463854/ERR15463854_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463854/B01_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463854/B01_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/054/ERR15463854/ERR15463854.bam
ERR15463870	SAMEA119567907	ERX14867802	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/070/ERR15463870/ERR15463870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/070/ERR15463870/ERR15463870_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463870/B03_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463870/B03_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/070/ERR15463870/ERR15463870.bam
