CHROM,POPULATION,SD,MIN,MAX,MEAN
13,red junglefowl,0.3638119446415846,-0.417956,2.36981,0.8536197809935205
13,white layer,1.7622264582510845,-2.94601,4.48306,1.0591169223507972
14,broiler line A,0.6672057865858432,-2.17925,3.28424,1.0497044758586118
14,broiler line B,0.7090361667813055,-1.32207,3.42757,1.4468957443298969
14,brown layer,1.175085856433758,-1.85001,4.38207,2.0120711149484536
14,ixworth,0.7532121061794458,-1.84152,4.46833,1.7161835378516623
14,red junglefowl,0.4136833932989834,-0.482687,2.76276,0.8564758972564103
14,white layer,1.9160502402792876,-2.93467,4.51079,1.2605796126287263
15,broiler line A,0.5898664190472314,-0.917074,2.83931,1.1723304895092024
15,broiler line B,0.8108391043123631,-1.70054,3.3163,1.2132950334355828
15,brown layer,1.5973871241477862,-2.3384,4.50365,1.64132449221875
